71	48	78
44	47	58
45	23	98
17	65	53
56	75	94
79	27	94
91	46	94
59	96	95
50	79	94
76	82	94
51	36	82
51	54	55
40	35	94
16	37	82
54	78	82
44	94	76
23	91	96
21	45	26
34	12	48
23	76	28
44	28	97
73	1	91
83	1	92
82	9	95
28	27	51
11	47	97
71	28	82
84	21	94
63	34	80
37	30	89
25	94	51
19	76	71
46	9	69
51	75	60
39	87	76
11	14	35
70	64	82
31	22	44
48	59	75
10	22	99
44	2	53
57	62	71
51	82	96
59	78	82
2	86	17
27	96	99
27	72	56
84	79	87
18	89	43
18	5	54
16	49	63
28	21	30
19	13	93
74	13	94
19	46	35
41	22	64
27	78	51
31	5	88
38	36	51
44	78	45
18	14	79
29	79	71
51	84	53
53	76	72
17	48	35
95	48	96
58	63	84
48	79	65
44	94	60
27	9	97
36	27	75
51	64	95
59	62	67
1	24	59
24	83	32
63	2	75
21	19	75
51	87	83
10	95	51
2	84	12
51	82	59
17	92	96
13	19	51
35	84	87
27	75	76
11	39	62
31	27	51
44	36	69
63	95	96
42	91	78
7	96	97
9	76	66
7	95	48
19	9	69
2	19	12
29	92	41
29	2	94
44	75	46
26	24	42
51	36	78
13	84	44
46	75	82
2	75	51
52	46	78
26	62	64
19	46	51
51	27	64
51	36	81
44	99	54
17	55	95
62	76	75
17	77	80
82	75	97
2	35	75
44	9	54
53	88	79
82	78	95
8	21	78
65	53	69
2	27	78
93	82	94
4	81	95
51	21	87
12	45	84
14	57	46
2	56	32
33	44	51
73	55	78
1	91	96
24	35	75
13	95	90
27	99	63
5	44	51
4	90	37
44	94	82
44	60	47
35	21	89
0	38	22
35	84	83
12	75	51
74	54	97
25	45	27
64	35	94
72	85	79
35	42	72
28	19	33
36	53	86
7	48	78
23	75	36
80	64	82
28	36	51
44	69	87
24	63	53
35	28	92
59	76	61
80	8	93
25	79	29
23	2	36
2	99	42
40	22	55
56	47	93
42	71	44
27	46	74
82	28	96
30	95	64
28	17	90
75	27	82
51	94	80
51	2	96
51	53	62
8	59	35
37	2	82
7	28	44
67	86	88
44	27	98
1	86	27
43	3	63
51	94	58
16	4	74
9	88	87
15	52	19
25	36	51
19	44	51
57	27	78
69	38	83
36	94	51
80	17	82
19	27	94
25	30	85
42	45	69
19	78	36
27	35	86
36	50	80
27	36	94
51	35	86
50	92	53
27	35	30
90	57	97
4	17	59
44	75	58
13	59	35
51	44	83
29	19	75
2	27	94
18	94	51
74	8	80
5	45	29
51	36	76
41	13	82
9	28	27
64	62	85
20	36	44
59	21	60
19	63	50
46	65	72
63	65	97
26	92	28
47	63	97
32	4	84
19	9	48
11	44	51
39	12	97
41	8	91
62	69	94
36	82	64
9	82	51
24	49	43
71	92	91
9	97	99
29	12	74
17	35	27
17	47	46
30	54	45
44	95	88
51	94	75
11	35	51
53	92	83
28	48	98
21	75	44
59	88	79
61	37	85
93	35	94
78	75	95
34	79	97
2	28	86
35	60	39
70	24	93
46	19	93
27	5	80
0	38	28
44	28	91
55	91	56
4	1	75
53	13	97
2	36	94
82	13	83
53	54	91
27	54	52
35	36	51
9	93	50
57	55	69
51	46	96
6	67	92
10	8	87
33	7	60
26	59	36
21	88	26
70	9	75
51	35	76
36	13	92
28	26	31
36	29	95
28	75	51
27	29	57
44	94	64
67	93	96
9	59	54
24	53	44
69	53	81
51	44	55
19	36	51
64	75	82
1	5	11
14	40	48
15	64	51
2	9	20
0	79	95
0	7	19
54	93	69
46	64	82
46	28	90
60	17	83
51	44	78
28	62	92
19	9	96
6	59	94
44	82	99
69	84	82
75	64	87
64	28	98
75	53	95
27	78	44
32	94	51
9	46	44
38	48	82
48	2	78
48	79	83
28	2	46
2	84	62
